year,month,count,next_ninetyth_percentile_reaction_time_days,next_tenth_percentile_reaction_time_minutes,prev_ninetyth_percentile_reaction_time_days,prev_tenth_percentile_reaction_time_minutes
2009,8,3,0.236296296296296,3.95,13.1487731481481,4.13333333333333
2010,4,4,0.338726851851852,2,0.0646296296296296,1
2010,6,1,0.828553240740741,1193.11666666667,0.185,266.4
2010,7,60,0.976145833333333,3.46666666666667,0.865277777777778,2.78333333333333
2010,8,181,1.47748842592593,13,3.23847222222222,12.3333333333333
2010,9,155,2.17778935185185,10.75,1.49023148148148,14.9166666666667
2010,10,195,2.78016203703704,9.75,1.42515046296296,9.08333333333333
2010,11,203,1.66048611111111,7.43333333333333,0.852013888888889,7.68333333333333
2010,12,182,2.05856481481481,3.96666666666667,1.81836805555556,6.38333333333333
2011,1,237,1.40518518518519,6.33333333333333,0.843541666666667,5.98333333333333
2011,2,227,1.66746527777778,6.4,1.2225,8.25
2011,3,447,0.960428240740741,5.45,0.997418981481481,6.28333333333333
2011,4,336,1.23789351851852,5.15,1.05715277777778,5.81666666666667
2011,5,434,1.74283564814815,6.4,1.09549768518519,7.21666666666667
2011,6,477,0.807534722222222,3.53333333333333,0.919895833333333,4.9
2011,7,394,0.936423611111111,4.8,0.937326388888889,6.71666666666667
2011,8,447,0.969247685185185,4.63333333333333,0.859467592592593,6
2011,9,332,2.50979166666667,8,1.07150462962963,8.28333333333333
2011,10,404,0.920775462962963,4.73333333333333,0.852118055555556,6
2011,11,350,0.899293981481481,5.3,1.47417824074074,7.46666666666667
2011,12,287,2.34998842592593,5.35,1.68701388888889,8.4
2012,1,403,1.08030092592593,6.38333333333333,1.03430555555556,6.96666666666667
2012,2,545,1.11825231481481,5.66666666666667,1.08954861111111,7.5
2012,3,471,1.77376157407407,6.15,1.50873842592593,7.5
2012,4,539,1.49722222222222,4.6,1.80083333333333,4.81666666666667
2012,5,698,0.960706018518519,4.3,1.07387731481481,4.76666666666667
2012,6,620,1.00729166666667,4.7,0.842349537037037,6.53333333333333
2012,7,605,0.903773148148148,4.96666666666667,0.934699074074074,6.85
2012,8,716,1.15991898148148,6.03333333333333,0.902372685185185,6.11666666666667
2012,9,624,1.98195601851852,4.61666666666667,1.60290509259259,6.23333333333333
2012,10,886,0.967696759259259,4.21666666666667,0.891030092592593,5.18333333333333
2012,11,890,1.00523148148148,4.85,1.05515046296296,5.93333333333333
2012,12,799,0.867789351851852,3.91666666666667,0.954085648148148,4.11666666666667
2013,1,958,0.857719907407407,4.8,0.862615740740741,4.83333333333333
2013,2,858,1.07950231481481,4.41666666666667,0.965335648148148,5.15
2013,3,825,1.20603009259259,4.93333333333333,1.66851851851852,5.58333333333333
2013,4,985,0.920856481481481,4.36666666666667,0.920856481481481,5.25
2013,5,970,1.19527777777778,3.58333333333333,1.04857638888889,4.36666666666667
2013,6,922,0.979386574074074,3.86666666666667,0.848796296296296,4.6
2013,7,1006,1.45733796296296,4.46666666666667,1.33224537037037,4.95
2013,8,832,1.14521990740741,4.31666666666667,1.00333333333333,4.76666666666667
2013,9,923,1.15290509259259,4.53333333333333,1.21846064814815,4.98333333333333
2013,10,988,1.13825231481481,5.58333333333333,1.41998842592593,5.63333333333333
2013,11,949,1.49996527777778,4.16666666666667,1.11402777777778,5.7
2013,12,855,1.16916666666667,4.4,1.27983796296296,4.85
2014,1,1229,0.981782407407407,4.03333333333333,0.893414351851852,5.08333333333333
2014,2,1032,1.27189814814815,3.6,1.20621527777778,4.28333333333333
2014,3,1066,1.59577546296296,4.2,1.88428240740741,5.26666666666667
2014,4,1053,1.19662037037037,4.16666666666667,1.0487962962963,4.8
2014,5,1108,1.07363425925926,3.8,1.02861111111111,4.51666666666667
2014,6,1333,0.749490740740741,3.1,0.751261574074074,3.43333333333333
2014,7,1295,0.801828703703704,3.1,0.891516203703704,3.31666666666667
2014,8,1212,0.986388888888889,3.2,0.894675925925926,3.5
2014,9,1401,0.937905092592593,3.38333333333333,0.950173611111111,4.16666666666667
2014,10,1636,1.0675,3.4,1.07594907407407,4.18333333333333
2014,11,1232,1.00472222222222,3.61666666666667,1.08641203703704,4.3
2014,12,1111,0.971412037037037,3.73333333333333,0.965810185185185,4.6
2015,1,1401,0.980983796296296,3.16666666666667,1.04855324074074,3.9
2015,2,1448,0.972430555555556,3,0.904583333333333,3.48333333333333
2015,3,1485,1.05616898148148,3.55,1.03625,3.81666666666667
2015,4,1298,0.948645833333333,3.51666666666667,0.855266203703704,4.16666666666667
2015,5,1191,1.09677083333333,3.7,1.16509259259259,4.78333333333333
2015,6,1264,1.11747685185185,4.18333333333333,1.28421296296296,4.73333333333333
2015,7,1576,1.03769675925926,3.58333333333333,0.864814814814815,3.95
2015,8,1347,0.957314814814815,2.9,1.10391203703704,3.96666666666667
2015,9,1347,1.08606481481481,3.55,0.979444444444444,4.28333333333333
2015,10,1336,1.05180555555556,3.16666666666667,0.916458333333333,3.96666666666667
2015,11,1228,1.09049768518519,3.85,1.21195601851852,5.81666666666667
2015,12,1322,0.982777777777778,3.15,1.16875,3.9
2016,1,1333,1.02396990740741,3.41666666666667,0.89462962962963,4.01666666666667
2016,2,1515,1.07628472222222,3.25,1.10605324074074,4.03333333333333
2016,3,1496,0.994722222222222,3.56666666666667,1.15674768518519,4.1
2016,4,1691,0.961111111111111,3.3,0.963981481481481,4.16666666666667
2016,5,1447,0.992997685185185,2.91666666666667,1.1181712962963,3.8
2016,6,1402,1.16954861111111,2.96666666666667,1.22981481481481,4.05
2016,7,1264,1.20049768518519,3.48333333333333,0.992928240740741,4.66666666666667
2016,8,1387,1.13055555555556,2.96666666666667,1.15247685185185,3.76666666666667
2016,9,1401,1.04020833333333,2.91666666666667,1.12347222222222,3.68333333333333
2016,10,1229,1.20960648148148,2.58333333333333,1.29894675925926,3.38333333333333
2016,11,1389,1.13971064814815,2.68333333333333,1.0672337962963,3.36666666666667
2016,12,1334,0.885150462962963,2.53333333333333,0.84599537037037,3.13333333333333
2017,1,1446,1.01663194444444,2.96666666666667,1.09506944444444,3.68333333333333
2017,2,1557,0.955798611111111,2.7,1.04134259259259,3.16666666666667
2017,3,1647,1.02017361111111,2.61666666666667,1.1871875,3.33333333333333
2017,4,1308,0.928518518518519,3.5,0.858993055555556,3.48333333333333
2017,5,1370,1.06678240740741,2.86666666666667,1.48777777777778,3.41666666666667
2017,6,1515,0.978854166666667,2.81666666666667,1.11957175925926,3.43333333333333
2017,7,1447,0.823310185185185,2.98333333333333,0.95380787037037,3.88333333333333
2017,8,1190,1.12790509259259,2.83333333333333,1.13185185185185,3.53333333333333
2017,9,1260,0.997928240740741,3.03333333333333,1.0216087962963,3.83333333333333
2017,10,1249,0.998541666666667,3.15,1.32434027777778,4.11666666666667
2017,11,1346,1.14142361111111,3.53333333333333,1.51561342592593,4.01666666666667
2017,12,1026,1.1812962962963,3.3,1.77443287037037,4.05
2018,1,1211,1.02827546296296,4.28333333333333,1.71195601851852,4.21666666666667
2018,2,1107,1.05143518518519,3.18333333333333,1.27203703703704,4.43333333333333
2018,3,1407,1.13458333333333,4.01666666666667,1.71127314814815,4.33333333333333
2018,4,1402,1.19944444444444,3.36666666666667,1.46030092592593,3.96666666666667
2018,5,1335,1.03138888888889,3.55,1.33111111111111,4.21666666666667
2018,6,1262,1.58436342592593,3.78333333333333,1.71247685185185,4.73333333333333
2018,7,1183,1.2753587962963,3.86666666666667,1.40362268518519,4.55
2018,8,1215,1.190625,2.96666666666667,1.53246527777778,3.91666666666667
2018,9,1144,1.04361111111111,3.21666666666667,1.59358796296296,4.11666666666667
2018,10,1248,0.894467592592593,2.65,0.943391203703704,3.05
2018,11,1321,1.06524305555556,3.25,1.07984953703704,3.78333333333333
2018,12,1004,1.03739583333333,3.88333333333333,1.29868055555556,4.35
2019,1,1414,0.942488425925926,4.21666666666667,1.02043981481481,4.3
2019,2,1410,1.01982638888889,3.48333333333333,1.05383101851852,3.8
2019,3,1276,1.06486111111111,3.5,1.06486111111111,4.88333333333333
2019,4,1301,1.01415509259259,4.1,0.950462962962963,4.36666666666667
2019,5,1262,1.05863425925926,3.95,0.987662037037037,4.3
2019,6,1110,1.13778935185185,3.9,1.38821759259259,5.26666666666667
2019,7,1396,0.966689814814815,3.56666666666667,1.08372685185185,3.71666666666667
2019,8,1180,1.13748842592593,4.05,1.04668981481481,5.21666666666667
2019,9,1172,1.14741898148148,4.7,1.0765162037037,4.68333333333333
2019,10,1270,1.09688657407407,4.11666666666667,1.20922453703704,4.35
2019,11,1239,1.39016203703704,4.75,1.06012731481481,5.31666666666667
2019,12,1204,1.03680555555556,3.78333333333333,1.05283564814815,4.76666666666667
2020,1,1255,1.40288194444444,3.81666666666667,1.31270833333333,5.18333333333333
2020,2,1358,1.07329861111111,3.7,1.15659722222222,4.21666666666667
2020,3,1225,1.10827546296296,4.06666666666667,1.47546296296296,5.48333333333333
2020,4,1197,1.09582175925926,3.81666666666667,1.0031712962963,4.45
2020,5,1332,0.821111111111111,3.21666666666667,0.989224537037037,4.15
