year,weekday,count,next_ninetyth_percentile_reaction_time_days,next_tenth_percentile_reaction_time_minutes,prev_ninetyth_percentile_reaction_time_days,prev_tenth_percentile_reaction_time_minutes
2009,2,1,0.236296296296296,340.266666666667,13.1487731481481,18934.2333333333
2009,3,2,0.00287037037037037,3.95,0.0228472222222222,4.13333333333333
2010,1,153,1.47748842592593,7.68333333333333,2.97655092592593,6.73333333333333
2010,2,190,1.14665509259259,9.43333333333333,2.94614583333333,9.43333333333333
2010,3,192,1.24824074074074,6.43333333333333,0.782893518518519,9.08333333333333
2010,4,200,1.39711805555556,7.18333333333333,0.925775462962963,6.8
2010,5,154,3.26935185185185,4.4,1.39711805555556,5.4
2010,6,42,2.94614583333333,8.63333333333333,1.69028935185185,8.63333333333333
2010,7,50,1.43170138888889,15.0333333333333,1.89293981481481,16.2666666666667
2011,1,718,0.901030092592593,6,2.43616898148148,6.41666666666667
2011,2,899,0.83875,4.33333333333333,0.864375,5.45
2011,3,791,0.866122685185185,4.56666666666667,0.871956018518519,6.4
2011,4,881,0.966851851851852,5.33333333333333,0.846643518518518,7.06666666666667
2011,5,680,2.88295138888889,5,0.873854166666667,7.01666666666667
2011,6,172,2.08061342592593,8.06666666666667,1.1978125,9.81666666666667
2011,7,231,1.7622337962963,8.96666666666667,2.14009259259259,9.46666666666667
2012,1,1260,0.903969907407407,4.75,2.63840277777778,5.48333333333333
2012,2,1504,0.947604166666667,4.58333333333333,0.838773148148148,5.53333333333333
2012,3,1428,0.868599537037037,4.81666666666667,0.867060185185185,6.03333333333333
2012,4,1513,0.842164351851852,4.6,0.831597222222222,5.08333333333333
2012,5,1277,2.5196412037037,4.03333333333333,0.930543981481481,5.13333333333333
2012,6,414,2.63840277777778,13.9833333333333,1.54663194444444,15.05
2012,7,400,1.37475694444444,6.16666666666667,1.68306712962963,8.88333333333333
2013,1,1861,0.941261574074074,4.23333333333333,2.40905092592593,4.4
2013,2,2035,0.923206018518518,4.06666666666667,0.954363425925926,4.98333333333333
2013,3,2069,0.84431712962963,4.01666666666667,0.947847222222222,4.53333333333333
2013,4,2060,0.899178240740741,4.38333333333333,0.91181712962963,5.13333333333333
2013,5,1783,2.67622685185185,5.15,0.955381944444444,5.41666666666667
2013,6,587,2.50104166666667,9.21666666666667,1.46488425925926,9.21666666666667
2013,7,676,1.20450231481481,5.46666666666667,1.34684027777778,6.23333333333333
2014,1,2493,0.867488425925926,3.76666666666667,2.32314814814815,4.13333333333333
2014,2,2883,0.822881944444444,3.16666666666667,0.858923611111111,3.58333333333333
2014,3,2833,0.82625,3.4,0.931886574074074,3.98333333333333
2014,4,2737,0.839988425925926,3.45,0.807465277777778,4
2014,5,2217,2.5874537037037,3.55,0.864618055555556,4.08333333333333
2014,6,733,2.10641203703704,5.98333333333333,1.20962962962963,7.48333333333333
2014,7,812,1.25725694444444,4.96666666666667,1.91582175925926,6.21666666666667
2015,1,2717,0.945740740740741,3.13333333333333,2.17157407407407,4.03333333333333
2015,2,3033,0.847824074074074,3.26666666666667,0.810324074074074,3.96666666666667
2015,3,3023,0.916527777777778,3.36666666666667,0.923043981481481,4.26666666666667
2015,4,3108,0.852106481481481,3.26666666666667,0.85712962962963,3.73333333333333
2015,5,2532,2.58810185185185,3.36666666666667,0.900243055555556,4.16666666666667
2015,6,912,2.19530092592593,4.26666666666667,1.42335648148148,5.08333333333333
2015,7,918,1.07820601851852,4.7,1.94346064814815,5.91666666666667
2016,1,2638,0.9196875,2.88333333333333,2.69402777777778,3.58333333333333
2016,2,3131,0.878877314814815,3.15,0.963148148148148,3.9
2016,3,3296,0.828634259259259,2.85,0.83806712962963,3.63333333333333
2016,4,3232,0.820706018518519,2.83333333333333,0.818113425925926,3.68333333333333
2016,5,2742,2.59415509259259,2.81666666666667,0.89837962962963,3.55
2016,6,905,2.23216435185185,5.71666666666667,1.54071759259259,6.53333333333333
2016,7,944,1.15268518518519,4.66666666666667,1.95591435185185,5.66666666666667
2017,1,2764,0.916412037037037,2.86666666666667,2.64924768518519,3.58333333333333
2017,2,3071,0.878726851851852,2.86666666666667,0.910613425925926,3.43333333333333
2017,3,3119,0.888726851851852,3,0.974583333333333,3.5
2017,4,3192,0.849780092592593,2.83333333333333,0.891261574074074,3.45
2017,5,2569,2.26674768518519,2.91666666666667,1.03608796296296,3.15
2017,6,837,2.14302083333333,5,1.41944444444444,6.36666666666667
2017,7,809,1.20893518518519,5.16666666666667,2.36167824074074,6.9
2018,1,2465,0.917210648148148,3.35,2.64788194444444,3.93333333333333
2018,2,2817,0.948518518518519,3.21666666666667,1.03318287037037,3.95
2018,3,2853,0.965092592592593,3.53333333333333,1.06895833333333,4.16666666666667
2018,4,2910,0.915034722222222,3.41666666666667,1.01034722222222,3.8
2018,5,2398,2.74494212962963,3.03333333333333,1.06521990740741,3.68333333333333
2018,6,697,2.16418981481481,5.45,1.95248842592593,6.76666666666667
2018,7,699,1.1550462962963,5.41666666666667,2.26482638888889,7.08333333333333
2019,1,2571,0.876990740740741,3.88333333333333,2.41450231481481,4.51666666666667
2019,2,2861,0.91775462962963,3.75,0.901458333333333,4.05
2019,3,2944,0.907951388888889,3.73333333333333,0.91162037037037,3.86666666666667
2019,4,2835,0.999282407407407,3.86666666666667,1.00927083333333,4.4
2019,5,2380,2.63829861111111,4.06666666666667,0.883738425925926,4.48333333333333
2019,6,754,2.13491898148148,5.96666666666667,1.65494212962963,8.33333333333333
2019,7,889,1.20215277777778,6.3,1.94181712962963,8.28333333333333
2020,1,977,1.04570601851852,4.25,2.7312962962963,5.53333333333333
2020,2,1037,1.01866898148148,3.66666666666667,1.09613425925926,4.93333333333333
2020,3,1221,0.93005787037037,3.18333333333333,0.882673611111111,3.83333333333333
2020,4,1118,0.907766203703704,4.23333333333333,0.946736111111111,4.66666666666667
2020,5,1082,1.99207175925926,3.28333333333333,1.04371527777778,3.88333333333333
2020,6,512,1.8777662037037,3.93333333333333,1.06484953703704,5.2
2020,7,420,0.952233796296296,4.65,1.32685185185185,6.38333333333333
