accountid,reputation_gis,number_posts_gis,reputation_es,number_posts_es
-1,1,825,1,111
2028,932,16,179,1
2114,246,1,151,1
2728,920,28,453,2
8529,213,2,827,14
9754,163,2,103,1
12163,113,1,221,2
16688,129,3,331,3
19143,143,8,5748,74
21147,5928,54,149,1
41076,131,4,141,1
44659,123,1,121,1
50566,113,1,370,4
55623,1641,27,176,1
56742,111,3,239,6
59864,121,1,149,1
68240,572,9,967,10
69659,413,10,161,2
73202,370,10,5005,54
73277,30544,830,143,1
76218,131,1,293,2
80211,215,4,151,1
85546,111,1,310,1
85747,1361,35,143,1
90752,111,1,336,3
94736,441,12,121,1
112525,113,1,183,1
114116,123,2,123,1
120635,101,1,320,1
129668,159,2,101,1
130400,161,1,221,1
130991,245,4,119,3
143296,105,4,263,5
144803,573,15,592,14
149787,153,3,167,1
162076,101,1,227,3
169656,101,1,203,2
170655,257,6,405,2
178623,195,5,649,7
186427,201,5,133,1
214232,131,1,2512,23
216182,131,1,4383,38
222994,988,77,3638,43
224977,113,4,121,1
232403,8979,892,136,3
259071,119,1,133,1
260566,171,7,293,3
271958,187,4,113,1
274885,21848,413,215,1
276507,213,1,343,2
282375,121,1,191,1
299952,143,1,221,3
304220,111,1,131,1
306152,161,6,2453,19
331923,191,3,121,1
342606,111,1,131,1
347212,373,8,159,2
349130,945,33,101,1
350198,111,1,201,1
352105,1650,28,203,2
389547,45388,1270,133,1
399142,74,9,203,1
400529,507,15,131,1
405946,365,11,265,2
421296,121,1,959,17
456872,205,4,125,1
457867,331,4,296,3
469009,171,3,655,4
473127,131,1,291,1
486226,163,2,225,2
503208,121,2,181,1
507061,107,1,240,1
510494,121,1,213,2
510862,191,4,193,3
512900,16467,462,745,4
513066,5535,246,163,2
513080,4075,275,330,11
514235,686,23,131,2
514818,171,4,121,1
550488,111,1,141,1
555728,291,13,173,1
558265,161,1,171,2
888036,270,5,5442,94
906180,121,1,243,1
913190,797,20,197,1
914062,293,1,153,2
935589,643,13,9844,96
961743,3809,118,131,1
992786,257,18,173,2
1014615,136,1,223,1
1027501,175,6,111,1
1081154,131,1,153,1
1142651,127,1,101,1
1170362,131,3,151,1
1194181,53,1,173,3
1211489,471,18,163,1
1254085,41,3,103,1
1384001,521,11,233,1
1399381,317,10,662,9
1410730,133,1,229,4
1413892,159,5,101,1
1425506,119,2,131,1
1427237,33,5,131,1
1436263,111,2,143,1
1449425,195,3,337,2
1511908,11896,400,298,2
1518241,131,1,333,3
1584070,963,31,3786,34
1614042,121,1,111,1
1643745,124,13,81,1
1678340,1851,152,261,2
1680236,129,2,209,1
1690924,101,2,153,2
1770879,223,4,171,1
1797999,141,4,149,2
1816341,125,1,1983,16
1821810,181,8,1390,31
1845340,111,2,251,2
1903579,119,1,133,1
1951066,202,3,203,3
1960871,1834,68,180,5
1964732,1220,30,123,1
1981105,143,1,161,1
1983661,439,18,409,4
1993324,171,13,121,1
2013794,1275,50,936,9
2016488,123,1,246,1
2020800,896,30,315,3
2030436,516,17,635,10
2032991,161,1,490,13
2048637,3568,154,101,1
2099187,363,7,431,4
2138019,4500,99,133,1
2196811,189,8,141,2
2202101,125,3,131,1
2204873,575,11,340,1
2206286,121,2,191,1
2210098,119,1,131,1
2211900,218,5,1707,14
2316002,340,12,562,5
2316095,61,2,73,1
2341626,41,2,71,1
2348673,225,12,101,1
2348943,181,5,121,1
2408530,153,2,18544,292
2426983,23,1,41,2
2431235,247,7,241,2
2433769,113,1,121,1
2435398,11,1,21,1
2452280,161,2,121,2
2457369,176,3,123,1
2502149,290,2,273,1
2512646,669,27,197,3
2532720,425,21,41,1
2560224,156,4,333,5
2607017,577,30,472,7
2611917,139,1,183,1
2812610,596,18,305,8
2826353,249,10,371,8
2888111,272,7,228,5
2919333,143,2,1518,25
2921887,340,18,146,2
2972712,127,9,111,2
2988597,13,1,113,1
3003628,71,3,133,1
3018313,137,3,121,2
3024236,36,5,41,1
3115152,51,1,3,1
3157727,113,1,161,1
3205096,63,3,21,1
3224218,2662,111,141,1
3267881,159,3,301,1
3326242,139,5,21,1
3355532,439,10,111,1
3389451,248,5,273,1
3421341,111,1,191,1
3445698,121,1,203,1
3519004,123,2,231,1
3528724,1148,47,273,4
3536340,125,2,213,1
3590476,163,1,2473,37
3607341,125,2,351,2
3610237,178,6,211,2
3635542,13,1,11,1
3639863,291,11,356,1
3645794,153,2,5612,101
3669944,648,18,265,4
3682462,131,2,1665,12
3738544,163,1,250,2
3741426,81,4,49,1
3838816,1612,74,151,1
3848246,153,11,23,1
3860851,213,10,169,4
3866206,814,21,159,3
3913159,2613,97,146,1
3932598,151,3,808,16
4059055,369,13,195,3
4073962,101,1,161,1
4095190,143,1,233,2
4096325,880,26,131,1
4099260,179,1,1467,18
4103858,111,1,143,1
4120401,231,1,9532,88
4132777,11,1,21,2
4144880,187,5,119,1
4197340,81,2,163,5
4232093,133,1,183,2
4263525,527,33,162,3
4285867,23,2,163,1
4301224,121,2,141,1
4312801,1,1,53,2
4327479,203,3,384,2
4381477,417,14,216,2
4394845,107,7,43,1
4452547,111,1,181,1
4487728,1751,68,181,2
4506132,311,2,173,1
4544774,35,4,161,2
4546415,211,6,10367,161
4565990,11,1,73,1
4585851,19,1,31,1
4588172,143,9,163,4
4634837,1,2,157,2
4687539,151,2,169,3
4700568,301,17,151,1
4717476,323,19,115,1
4718232,105,1,311,2
4794992,123,3,7023,149
4834988,431,15,5475,85
4851017,101,1,386,5
4852575,101,2,93,1
4905594,101,1,131,1
5075078,163,3,243,1
5127772,195,3,213,1
5132684,13,1,41,1
5139565,167,3,2357,34
5161881,181,5,195,2
5181392,638,37,131,1
5251115,131,3,563,4
5255022,43,3,13,1
5258253,181,4,131,1
5323558,283,10,4203,100
5358366,217,11,33,1
5361982,412,8,111,1
5381956,217,3,395,2
5428233,29,1,1,1
5508805,91,6,81,2
5525026,327,11,5756,66
5526995,187,17,143,1
5553095,51,5,41,2
5553239,1312,50,121,1
5554538,111,1,425,5
5579672,131,2,136,1
5587528,1,1,41,2
5614255,3,2,73,1
5677434,133,1,133,1
5704187,1407,58,101,1
5751401,662,37,123,1
5809690,196,8,340,2
5851059,849,19,149,1
5855726,11,1,61,4
5856539,121,1,185,2
5889751,175,13,71,3
5906531,215,3,495,5
5915416,393,17,203,2
5927758,41,2,111,1
5951956,123,2,111,1
5977628,121,1,141,1
6019517,227,4,143,1
6061608,47,4,83,2
6085540,403,1,243,3
6157223,1,2,109,7
6166172,129,1,143,1
6269373,1022,24,206,2
6334924,355,10,2259,44
6434170,1072,21,16078,214
6487480,119,1,113,1
6542077,157,7,433,14
6545286,180,4,3124,59
6561574,166,10,1058,24
6576696,387,24,141,1
6660116,53,1,73,1
6696751,279,8,151,1
6717130,51,3,31,2
6725310,848,34,331,4
6768574,19,1,172,2
6858835,43,1,31,1
6929215,113,1,121,1
6939469,375,9,188,1
7191607,111,1,173,2
7251286,101,2,355,8
7282271,615,21,665,11
7414124,133,1,681,15
7449763,1,1,31,1
7462933,11,1,23,1
7489663,116,7,61,2
7497446,199,12,233,2
7503901,111,1,131,1
7614311,13,1,57,2
7645188,1283,48,564,17
7651534,225,8,153,1
7661399,11,3,115,3
7798259,121,3,133,1
7846453,111,2,669,22
7914959,21,1,31,1
8008602,161,2,762,16
8039895,227,19,101,1
8073086,21,1,51,1
8234989,241,10,131,1
8243348,147,9,61,3
8250104,143,10,41,3
8419915,143,5,143,1
8468157,103,1,111,2
8556286,1,1,11,2
8584094,187,9,63,1
8673875,21,4,146,7
8694114,135,2,141,1
8799234,31,10,11,1
8835993,153,3,111,1
8900427,183,2,153,1
9069053,1,1,81,2
9094422,41,5,123,1
9133266,221,20,323,9
9228708,1616,50,174,3
9358954,46,1,11,1
9445531,31,1,43,2
9542908,67,3,11,1
9769913,215,7,405,8
9933850,1,1,138,7
10341374,109,2,455,13
10356313,11,1,11,1
10596482,125,6,151,1
10717199,41,1,11,1
10773193,115,5,1,1
10786639,1,1,51,2
10820792,248,20,36,2
10908430,31,2,3,1
11106487,11,2,1,1
11178953,51,3,11,2
11254952,11,1,21,2
11408648,209,12,111,1
11453291,153,4,314,6
11532641,3,1,53,2
11603287,71,5,43,1
11830153,96,4,21,1
11912530,13,2,11,1
12159873,45,6,11,1
12268120,68,6,41,3
12311602,329,20,173,2
12317955,4808,195,589,14
12339658,75,8,11,1
12341276,21,1,21,1
12447316,41,4,51,1
12551563,75,18,21,1
12630423,203,1,363,3
12795401,33,2,85,3
12857717,111,1,111,1
12891401,71,7,3,1
13083288,1,2,165,7
13392940,1620,54,216,2
13509072,1716,92,111,1
13568786,91,9,11,1
13654137,11,1,36,1
13658548,21,1,41,1
14211306,91,3,561,1
14341658,111,1,71,1
14531959,11,1,21,1
14535599,41,1,21,1
14901950,793,53,207,6
14981869,23,2,1,1
15105112,35,2,46,2
15253912,45,3,1,1
15294080,121,5,839,26
15734603,1,1,96,3
15846218,11,1,1,1
15929704,195,12,123,1
16053591,93,1,121,1
16199577,73,4,43,2
16249998,13,1,1,1
